file_id,file_size_gb
0,3.74
1,5.72
2,4.89
3,3.62
4,6.51
5,2.26
6,3.63
7,4.3
8,5.1
9,8.07
10,2.8
11,5.63
12,6.33
13,1.42
14,6.47
15,2.53
16,1.59
17,9.54
18,9.69
19,8.28
20,3.74
21,1.88
22,7.16
23,4.96
24,2.1
25,5.46
26,1.31
27,9.18
28,3.33
29,6.96
30,3.81
31,5.68
32,5.92
33,2.66
34,9.73
35,7.98
36,9.46
37,9.05
38,6.38
39,9.3
40,1.8
41,2.76
42,1.41
43,3.93
44,4.5
45,3.44
46,8.46
47,4.21
48,3.53
49,5.88
50,2.27
51,8.22
52,1.67
53,9.88
54,7.95
55,2.79
56,1.05
57,8.34
58,7.36
59,7.56
60,7.94
61,1.67
62,4.23
63,2.04
64,8.77
65,6.61
66,3.98
67,1.57
68,3.8
69,3.93
70,7.57
71,6.74
72,8.98
73,5.25
74,2.08
75,7.42
76,7.85
77,6.05
78,7.94
79,5.44
80,5.7
81,4.85
82,1.23
83,1.97
84,1.28
85,6.73
86,3.83
87,5.58
88,9.17
89,3.24
90,4.69
91,7.8
92,3.06
93,1.69
94,3.61
95,2.45
96,9.37
97,8.27
98,6.7
99,8.84
100,8.23
101,2.68
102,9.03
103,5.85
104,8.27
105,9.06
106,3.86
107,1.99
108,3.05
109,4.84
110,8.36
111,8.75
112,1.06
113,5.6
114,4.76
115,3.0
116,2.08
117,4.04
118,9.49
119,3.91
120,5.67
121,7.33
122,4.27
123,9.75
124,9.66
125,3.27
126,5.48
127,3.71
128,3.56
129,1.33
130,6.49
131,5.52
132,1.46
133,3.51
134,9.17
135,3.16
136,2.3
137,5.41
138,9.87
139,3.18
140,7.05
141,7.85
142,3.14
143,7.55
144,4.31
145,6.69
146,6.7
147,5.82
148,1.81
149,8.52
150,3.89
151,2.68
152,1.37
153,6.32
154,7.1
155,1.15
156,5.61
157,3.04
158,6.81
159,2.57
160,7.22
161,4.48
162,9.43
163,2.24
164,4.07
165,2.02
166,9.32
167,8.9
168,3.32
169,6.94
170,8.35
171,6.0
172,5.77
173,3.18
174,1.84
175,9.07
176,9.1
177,6.7
178,4.05
179,4.14
180,7.53
181,9.07
182,8.98
183,8.02
184,6.78
185,1.76
186,2.45
187,9.09
188,6.46
189,1.08
190,1.91
191,6.97
192,1.05
193,2.45
194,5.94
195,7.23
196,6.87
197,3.02
198,7.41
199,3.14
